region,retour,situation,pus,groscolis,repere,adresse,map,longlat,statut
Région du Poro,Oui,COD,Korhogo - quartier petit Paris,Oui,SICTA quartier petit Paris,Situé à la zone industrielle vers la SICTA,https://bit.ly/3rKVg8g,"9.467253356059457,-5.619410273999759",Live
Région du Poro,Oui,COD,Korhogo - quartier Soba,Oui,Quartier Soba Musée Regional Gbon Coulibaly,Non loin du musée régional Gbon Coulibaly à coté de l'agence MTN,bit.ly/2vXbzSu,"9.455810829066673,-5.628399631670185",Live
Région de la Bagoué,Oui,COD,Boundiali,Oui,SODECI Boundiali,Boundiali non loin de la SODECI,bit.ly/2kR82Qj,"9.527638892023496,-6.4832436605048045",Live
Région de la Bagoué,Oui,COD,Tingréla,Oui,Jardin municipal des enfants,A 100 m de la voie principale non loin du jardin municipal des enfants en allant à la résidence du préfet.,bit.ly/2lVQfYj,"10.478503915586003,-6.403816189332233",Live
Région de la Bagoué,Oui,COD,kouto,Oui,Commissariat de Kouto,En face du commissariat de Kouto,bit.ly/2sV93el,"9.892982639921271,-6.410128173957495",Live
Région de la Bagoué,Oui,Prepaid,Kasseré,Oui,Marché de Kasséré,Non loin du marché de Kasséré,bit.ly/2sUZyvG,"9.82785560654603,-6.218534145161696",Close
Région du Kabadougou,Oui,COD,Odienne,Oui,Château d'eau,"La voie principale quartier Yankafissa, non loin du château d'eau.",bit.ly/3flkvBY,"9.512851626358689,-7.575379949448358",Live
Région du Tchologo,Oui,COD,Ferkessédougou,Oui,Gare UTNA mosquée dioulabougou,"Boutique Canal+ près de la gare UTNA en face de la grande mosquée, quartier dioulabougou",bit.ly/2kBSRuh,"9.588378003809083,-5.199537229822943",Live
Région du Tchologo,Oui,COD,Ouangolodougou,Oui,Agence Emploi jeune,"Non loin de la gare SAMA, entre l'agence emploi jeune et la l agence Koudjis",bit.ly/35y4LIa,"9.9645419502748,-5.154969658655131",Live
Région du Gbêkê,Oui,COD,Bouaké - Centre Commercial,Oui,Gare Malex,"Près de la gare MALEX, à coté de la station SHELL",https://bit.ly/3ZJeqbe,"7.684034532061955,-5.027360216341356",Live
Région du Gbêkê,Oui,COD,Bouaké - Stade,Oui,Pharmacie Reoboth en face du Stade.,A côté de la pharmacie Reoboth en face du Stade.,bit.ly/2kpZEai,"7.68454185886678,-5.046061465493154",Live
Région du Gbêkê,Oui,Prepaid,Djebonoua,Oui,Pharmacie Peniel,"A coté du maquis Mercato, à l'arrière de la pharmacie Peniel",bit.ly/3tMaXYd,"7.520263532177533,-5.070327938179446",Close
Région du Hambol,Oui,COD,Katiola,Oui,Situé en face de la mairie et de la poste de katiola.,"Quartier commerce, route de dabakala",bit.ly/3vCaUj9,"8.1393802,-5.0998991",Live
Région du Hambol,Oui,COD,Niakaramandougou,Oui,Paroisse Saint Joseph,Non loin de l'entrée principale de la paroisse saint Joseph,bit.ly/2nNyCLH,"8.659393536604535,-5.286736408791126",Live
Région du Hambol,Oui,COD,Tafiré,Oui,Grande Mosquée de Tafiré,En bordure de voie principale en face de la grande mosquée de Tafire ,bit.ly/2Jg9gxq,"9.072102588749678,-5.161164460508255",Live
Région de l'Iffou,Oui,COD,M'Bahiakro,Oui,M'Bahiakro Quartier commerce,En face de la pharmacie N'ZI,bit.ly/2MRHL2h,"7.453613500986959,-4.338188160519187",Live
Région du Gbêkê,Oui,COD,Béoumi,Oui,Mairie de Béoumi,Quartier commerce non loin de la Mairie,bit.ly/2GrvFpM,"7.674284198443482,-5.579500002847506",Live
Région du Gbêkê,Oui,Prepaid,Botro,Oui,Quartier résidentiel ,Non loin de la paroisse saint Gabriel de Botro,bit.ly/3aNbjFi,"7.849555136990234,-5.308239034811777",Close
Région du Gbêkê,Oui,COD,Sakassou,Oui,Centre social de Sakassou, Quartier Maraba non loin du centre social,bit.ly/2UsmP38,"7.45233208217153,-5.292034742634586",Close
Région du Hambol,Oui,Prepaid,Dabakala,Oui,Quartier Bambarasso,Non loin de  la  boulangerie Tiéba Ouattara ,bit.ly/2wMBHQd,"8.364461025045017,-4.431051116337448",Close
Région du Worodougou,Oui,COD,Seguela,Oui,Palais de Justice quartier Diomadé,"Quartier Diomadé , en face du palais de justice à côté de la nouvelle agence Micro-Cred",bit.ly/2khjt3k,"7.960094540355088,-6.670074680739595",Live
Région du Worodougou,Oui,Prepaid,Kani,Oui,Kani,Près du marché de Kani,https://goo.gl/maps/nqVq8NSTRbEbi7PY6,"8.476059,-6.6055049",Live
Région du Béré,Oui,COD,Mankono,Oui,Gendarmerie de Mankono,Quartier Maminan non loin de l'agence MTN,bit.ly/376hDVk,"8.060110716991332,-6.189794016339486",Live
Région du Bafing,Oui,COD,Touba,Oui,à 100m de l'inspection de l'enseignement primaire.,"TOUBA, quartier dougouba1,  rue du commerce Agence Canal+",bit.ly/2lTF6r0,"8.282472298005986,-7.683861828835171",Live
Région du Gontougou,Oui,COD,Bondoukou,Oui,Carrefour 911,A l'entrée de la ville sur la rue principale carrefour 911,https://bit.ly/3Q7v6py,"8.024368653305503,-2.810939731680399",Live
Région du Gontougou,Oui,Prepaid,Tanda,Oui,Gare routiere en face du commissariat,Tanda à l'intérieur de la gare routière en face du commissariat ,bit.ly/2lVcE8h,"7.802372034541639,-3.166347471164827",Live
Région du Gontougou,Oui,Prepaid,Koun Fao,Oui,Mairie de KOUN-FAO,Non loin de la mairie à l'intérieur de la gare d'Abokro,bit.ly/36Bk55Z,"7.487359273677425,-3.252371831683807",Live
Région du Gontougou,Oui,Prepaid,Gouméré,Oui,Ecole Koko,Après le garage Auto-Kouassi à 100m de la voie principale de Bondoukou,https://bit.ly/3sDXAvr,"7.897521248465617,-2.9809722028726977",Close
Région de Bounkani,Oui,COD,Bouna,Oui,Place de la Paix,Près de la place de la paix à l'intérieur de l'agence Canal+ ,bit.ly/2NcLLay,"9.27007419595262,-2.994149631671618",Live
Région de San-Pédro,Oui,COD,Grand-Béréby,Oui,La mairie de Grand-Béréby,Carrefour gendarmerie; en face de la mairie de Grand-Béréby,bit.ly/3gLEDS0,"4.6508102,-6.9249826",Live
Région du Gontougou,Oui,COD,Transua,Oui,Quartier royal,Chez PMS à 50 mètres de la voie principale,bit.ly/3sTzcmt,"7.549249360517421,-3.014732931709941",Live
Région du Gbêkê,Oui,COD,Bouaké-Quartier Air France,Oui,Pharmacie Ayatha,Vers la flotte; à côté de la pharmacie AYATHA,bit.ly/3hJ4drn,"7.669525576578776,-5.013677402120016",Live
Région de la Nawa,Oui,COD,Yabayo,Oui,Eglise catholique de Yabayo,En face de l'église catholique de Yabayo non loin de la poste,bit.ly/31G5gPF,"5.946056,-6.597528",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Koumassi Remblais-Carrefour Colombe,Non,Derrière la phamacie Ebathe,Non loin du collège Colombe,https://bit.ly/3trNn2C,"5.3016951,-3.9672483",Live
Région du Poro,Oui,Prepaid,Sinematiali,Oui,"Sinematiali centre, non loin du siège PDCI RDA",Au rond point de la boutique valy en haut de la station delta oil,https://bit.ly/3tBrl0N,"9.5840833,-5.3867443",Close
District autonome de Yamoussoukro,Oui,COD,Yamoussoukro,Oui,Yamoussoukro - Etage Diaby,"Après la pharmacie de la Fondation, sur le même alignement que la COOPEC",https://bit.ly/3vFGGP0,"6.8028816,-5.2696558",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Abobo N'Dotré,Non,Abobo N'Dotré Carrefour Diallo,Carrefour Diallo en face de la pharmacie Carrefour Diallo,https://bit.ly/3Ad2d0M,"5.4410271,-4.0598048",Close
Région de La Mé,Oui,COD,Alépé,Oui,Quartier Village,"Quartier Village, Juste après la mairie d'Alépé",https://bit.ly/2Wv0O78,"5.4996667,-3.6621054",Live
Région du Bélier,Oui,COD,Toumodi,Oui,Pharmacie Toumodi,Non loin de la pharmacie de toumodi,http://bit.ly/3dyyaIA,"6.5560567,-5.0209576",Live
