region,retour,situation,pus,groscolis,repere,adresse,map,longlat,statut
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Songon,Oui,Carrefour gravier non loin du maquis no name,Songon,"http://maps.google.com/?q=5.33476,-4.18438","5.33476,-4.18438",Live
Région du Tonkpi,Oui,COD,Logoualé,Oui,Entre la gendarmerie et la sous-préfecture,Logoualé,https://maps.app.goo.gl/9WufdHDM6U27gy6o7,"7.109373,-7.552385",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Adjame Attecoube,Oui, Entre terminus 04 SOTRA et la pharmacie du rond point à gauche,Adjame Attecoube,https://maps.app.goo.gl/c8XPS659w37eKmtA9,"5.3471875,-4.0337656",Close
Région du Haut-Sassandra,Oui,COD,Daloa Quartier Abattoir 2,Oui,En face du 5e arrondissement,Quartier Abattoir 2,https://bit.ly/3EIu26h,"6.8604444,-6.4350278",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Anyama Terre Rouge,Oui,En face du centre commercial Olympique,Anyama Terre Rouge,https://bit.ly/3iFg902,"6.9001667,-6.4101565",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Riviera M'Badon,Non,Ambassade de Chine,"route de l'ambassade de Chine, à 100m derrière le panier d'or.",https://bit.ly/3IZdXe8,"5.3340661,-3.9453355",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Angre Nouveau CHU,Non,Nouveau CHU,à 200 mètre  du supermarché Carrefour et 20 m de l’arrêt de bus,https://bit.ly/3xqIxa0xw,"5.3340661,-3.9453356",Live
Région du Gbôklé,Oui,COD,Fresco,Non,Marché de Fresco, Non loin de l'hôtel Zenith,https://bit.ly/3KGAGwP,"5.1045556,-5.5859722",Live
Région du Lôh-Djiboua,Oui,COD,Hermankono,Oui,Hermankono,Entre la station Shell et l'antenne orange," https://maps.google.com/?q=5.928146,-5.012064","5.928146,-5.012064",Live
Région de l'Indénié-Djuablin,Oui,COD, Kofikro,Oui, Kofikro, Eglise catholique sur la rue principale du village 300 mètres de la micro finance CMEC,"https://www.google.com/maps/place/Kofikro/@5.4050834,-3.3873643,15.5z/","5.4029872,-3.3820257",Live
Région du Tonkpi,Oui,COD, Zouanhouien 2,Oui, Zouanhouien 2,Quartier commerce  a côté de la petite mosquée juste en face de la pharmacie de zouanhouein ,https://maps.app.goo.gl/dEKeLNrbbsGXHAGC6,"6.9216944,-8.2087778",Live
Région de San-Pédro,Oui,COD, Quartier Zimbabwe,Oui, Quartier Zimbabwe, A côté de l'école primaire EPP Zimbabwe en allant à la maternité,https://bit.ly/3ImHPiK,"4.7604167,-6.6666944",Live
Région du Guémon,Oui,COD,Duekoué petit marché,Oui,Petit Marché,Carrefour Tokpa non loin de la boulangerie Aoua Touré,https://bit.ly/3Ags6jv,"6.7383611,-7.3543889",Live
Région du Tonkpi,Oui,COD,Danane ,Oui,Danane ,Quartier commerce en face de l'agence Moov,http://bit.ly/2uFh1sd,"6.9190763,-8.2078314",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Soweto,Oui,Soweto,Derrière la boulangerie opéra non loin de la mosquée Hadj Hodou Sery,"https://www.google.com/maps/place/Agence+Jumia+Zoe+Bruno/@5.2841399,-3.9483884,3507m/data=!3m1!1e3!4m6!3m5!1s0xfc1ef00246ea469:0xc7e0a0cc076ed54c!8m2!3d5.2841399!4d-3.9483884!16s%2Fg%2F11vyq2my11?entry=ttu&g_ep=EgoyMDI0MTAxNi4wIKXMDSoASAFQAw%3D%3D","5.2841399,-3.9483884",Close
Région du Bafing,Oui,COD,Agence de Touba,Oui,Touba,A coté du restaurant le bon goût juste après la gare Mt,"https://www.google.com/maps/place/Agence+JUMIA+Touba/@8.2831,-7.6902949,871m/data=!3m1!1e3!4m12!1m5!3m4!2zOMKwMTYnNTkuMiJOIDfCsDQxJzE1LjgiVw!8m2!3d8.2831111!4d-7.6877222!3m5!1s0xfb02ff437721aa1:0xc5be4c9b5300c961!8m2!3d8.2822669!4d-7.6838841!16s%2Fg%2F11nyh3qhsf?entry=ttu&g_ep=EgoyMDI0MTAxNi4wIKXMDSoASAFQAw%3D%3D","8.2831,-7.69029",Live
Région du Bélier,Oui,COD,Agence de Toumodi,Oui,Toumodi,"Derrière le marché, près de l'école primaire Dominique Ouattara",https://maps.app.goo.gl/gNPVKcA48GiCjvJE8,"6.5561111,-5.0095556",Live
Région du Worodougou,Oui,COD,Dianra,Oui,Dianra,"Non loin du SUPERMARCHÉ SORO ZIE, sur la voie de la pharmacie de Dianra",https://bit.ly/3yAKsZ3,"8.9543056,-6.2571944",Live
Abidjan Centre et Est (Cocody-Plateau),Oui,COD,Angre cocovico,Oui,Angre cocovico,feu du terminus du bus 81-82 ancien marché cocovico au carrefour tapi rouge près de la grande école ISICOM non loin de la mosquée et l'église assemblée de Dieu d'angre djibi,"https://www.google.ci/maps/place/5%C2%B024'16.6%22N+3%C2%B059'00.2%22W/@5.4063043,-3.9842233,16z/data=!4m4!3m3!8m2!3d5.4046111!4d-3.9833889","5.4063043,-3.9842233",Live
Région du Hambol,Oui,COD,Dabakala,Oui,Dabakala,Quartier Bambarasso en face du terrain de Bambarasso,https://maps.app.goo.gl/Rn5jkbzU3TkhNaCH8,"8.3618056,-4.4310278",Live
Région du Tonkpi,Oui,COD,Zouanhouien,Oui,Zouanhouien,Quartier commerce a côté de la petite mosquée juste en face de la pharmacie de zouanhouein,https://maps.app.goo.gl/dEKeLNrbbsGXHAGC6,"6.9216944,-8.2087778",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Bietry,Non,"Rue Thomas Edison, China Mall Zone 4","Zone 4 En venant de Rallye ou HONDA, après China Mall puis après les rails, un passe au fond à gauche","https://www.google.com/maps/place/5%C2%B017'14.4%22N+3%C2%B059'09.0%22W/@5.2873333,-3.9858333,17z/data=!3m1!4b1!4m4!3m3!8m2!3d5.2873333!4d-3.9858333?hl=fr&entry=ttu","5.2873333,-3.9858333,877",Live
Région du Lôh-Djiboua,Oui,COD,Guitry,Oui,Guitry,situé à  50 mètres avant la Mairie et 85 mètres avant la pharmacie de Guitry ,https://maps.app.goo.gl/gsDpcsZSYH3sNAvdA,"5.520727,-5.242313",Close
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Port Bouet ,Oui,Port Bouet Centre pilote,Au sein du centre commercial Centre pilote à côté du supermarché Cash Ivoire en face de l'hôtel de ville de Port-Bouët,"https://www.google.com/maps?q=5.25985050201416,-3.9637928009033203&z=17&hl=fr","5.2598505,-3.9663677",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Abobo N'Dotré,Oui,Abobo N'Dotré,SOTRAPIM en venant du carrefour Bandji juste à droite sur l'axe principal,"https://www.google.com/maps/place/CWJJ%2B3CF,+Abidjan/@5.4301875,-4.0689531,876m/data=!3m2!1e3!4b1!4m5!3m4!1s0xfc1ea5311959121:0x35d7c1339a3190e2!8m2!3d5.4301875!4d-4.0689531?hl=fr-FR&entry=ttu&g_ep=EgoyMDI0MTAxNi4wIKXMDSoASAFQAw%3D%3D","5.4339517,-4.0677343",Live
Région du Lôh-Djiboua,Oui,COD,Guitry,Oui,Pharmacie de Guitry,situé à  50 mètres avant la Mairie et 85 mètres avant la pharmacie de Guitry ,https://maps.app.goo.gl/gsDpcsZSYH3sNAvdA,"5.520727,-5.242313",Close
Région de la Nawa,Oui,COD,Gabiadji,Oui,Gabiadji,situé en Bordure de la voie principale a côté de la gare routière SM,"https://maps.google.com/?q=5.02215,-6.55948","5.02215,-6.55948",Live
Région du Gontougou,Oui,COD,Sandegue,Oui,Sandegue,situé à 55 km de TANDA le local est Situé entre la gare et le centre culturel de sandegue,https://maps.app.goo.gl/UKTZ7wBeZTybnWEk6,"7.95355,-3.583608",Live
Région du Cavally,Oui,COD,Blolequin,Oui,Blolequin,"Situé au quartier colonel,centre ville carrefour keïbli  en face du lycée en face du lycée moderne de Blolequin","https://www.google.com/maps/place/7%C2%B013'21.4%22N+7%C2%B055'44.4%22W/@7.22261,-7.9315649,873m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d7.22261!4d-7.92899?entry=ttu&g_ep=EgoyMDI0MTAxNi4wIKXMDSoASAFQAw%3D%3D","7.22261,-7.9315649",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Agence de Yopougon Abobo Doumé,Non,Yopougon Abobo doumé au bateau Carrefour Craven A,juste a côté de l'église vase d'honneur,"https://www.google.com/maps/place/5%C2%B018'39.5%22N+4%C2%B002'10.6%22W/@5.310978,-4.0388589,712m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.310978!4d-4.036284!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°18'39.5""N 4°02'10.6""W",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Agence de Anyama,Oui,"Anyama-Adjamé, 3ᵉ extension","Sur la route de Y4,En face de la mosquée Cailloux et terminus Saloni","https://www.google.com/maps/place/5%C2%B018'39.5%22N+4%C2%B002'10.6%22W/@5.310978,-4.0388589,712m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.310978!4d-4.036284!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°18'39.5""N 4°02'10.6""W",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Agence de Marcory sans fil,Non,situé juste à côté Boulangerie SALAM Maison Blanche,en venant de l’ARTCI après les palmiers,"https://www.google.com/maps/place/UNLOOSH+SERVICES/@5.3118903,-3.9607325,712m/data=!3m2!1e3!4b1!4m6!3m5!1s0xfc195aa9ea32fb5:0x3e4a0ec0773b6566!8m2!3d5.3118903!4d-3.9607325!16s%2Fg%2F11xgnttzy6!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D",826Q+QP Abidjan,Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,Prepaid,Agence de PK24,Non,Agence de PK24,PK24 non loin de la société Coca cola,"https://www.google.com/maps/place/5%C2%B024'35.2%22N+4%C2%B009'57.5%22W/@5.4097778,-4.1659722,711m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.4097778!4d-4.1659722!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°24'35.2""N 4°09'57.5""W",Live
Abidjan Sud (Marcory - Koumassi - Port-Bouet),Oui,COD,Agence de Treichville Arras,Non,Quartier Arras,"Entente - Av24 Rue, 22 Terminus 22","https://www.google.com/maps/place/5%C2%B018'12.5%22N+4%C2%B000'03.0%22W/@5.30347,-4.000837,712m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.30347!4d-4.000837!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°18'12.5""N 4°00'03.0""W",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Agence de Yopougon Port Bouet 2,Non,En venant de la pharmacie port Bouet 2 au carrefour Maquis,juste à côté du supermarché MINIBUDGET,"https://www.google.com/maps/place/8WW5%2BQPJ,+Abidjan/@5.3469678,-4.0953478,711m/data=!3m2!1e3!4b1!4m5!3m4!1s0xfc1ea5311959121:0x13142ba0ff65be5f!8m2!3d5.3469625!4d-4.0907344!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","8WW5+QPJ, Abidjan",Live
Abidjan Nord Ouest (Abobo - Adjamé - Yopougon),Oui,COD,Agence de Yopzoneindustrielle,Non,carrefour zone,en face de la pharmacie La Source,"https://www.google.com/maps/place/5%C2%B022'06.8%22N+4%C2%B004'45.7%22W/@5.3685556,-4.0793611,711m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.3685556!4d-4.0793611!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°22'06.8""N 4°04'45.7""W",Live
Région du Gbôklé,Oui,COD,Agence de Thoui,Oui,située à thoui non loin de la station ola et de la station petrolum,juste en face du grand dépôt de boisson,"https://www.google.com/maps/place/5%C2%B015'38.3%22N+6%C2%B031'58.4%22W/@5.260624,-6.539446,2846m/data=!3m1!1e3!4m4!3m3!8m2!3d5.260624!4d-6.53288!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°15'38.3""N 6°31'58.4""W",Live
Région de l'Indénié-Djuablin,Oui,COD,Agence de Abengourou,Oui,Près du collège KJ,Sinon le garage Martin,"https://www.google.com/maps/place/6%C2%B044'44.2%22N+3%C2%B030'18.7%22W/@6.7456111,-3.5051944,710m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d6.7456111!4d-3.5051944!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","6°44'44.2""N 3°30'18.7""W",Live
Région de l'Indénié-Djuablin,Oui,COD,Agence de Kofikro Baoulé Eglise catholique,Oui,Quartier Baoulé ,Eglise catholique,"https://www.google.com/maps/place/5%C2%B024'30.6%22N+3%C2%B022'51.7%22W/@5.4085,-3.3810278,711m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.4085!4d-3.3810278!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°24'30.6""N 3°22'51.7""W",Live
Région du Sud-Comoé,Oui,COD,Agence de Nzikro,Oui,Quartier Baoulé Le Corridor,,"https://www.google.com/maps/place/5%C2%B023'34.2%22N+3%C2%B024'14.0%22W/@5.392839,-3.4038448,178m/data=!3m1!1e3!4m4!3m3!8m2!3d5.3928333!4d-3.4038889!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°23'34.2""N 3°24'14.0""W",Live
Région du Sud-Comoé,Oui,COD,Agence de Samo,Oui,CARREFOUR MARCHÉ APRÈS LE GARAGE,DERRIÈRE LE COMMISSARIAT DE POLICE,"https://www.google.com/maps/place/5%C2%B017'02.6%22N+3%C2%B030'47.9%22W/@5.2840609,-3.5158805,712m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.2840556!4d-3.5133056!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°17'02.6""N 3°30'47.9""W",Live
Région du Sud-Comoé,Oui,COD,Agence de Yaou,Oui,VOIE INTERNATIONALE FACE GRANDE QUINCAILLERIE,IMMEUBLE VERT - PRESSING EC LAVERIE - VOIE INTERNATIONALE FACE GRANDE QUINCAILLERIE DE YAOU,"https://www.google.com/maps/place/5%C2%B014'33.3%22N+3%C2%B037'43.2%22W/@5.2425833,-3.6286667,712m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.2425833!4d-3.6286667!5m1!1e1?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°14'33.3""N 3°37'43.2""W",Live
Région du Sud-Comoé,Oui,COD,Agence de Assinie,Oui,Quartier Djamian,"sur la route du marché, Carrefour Cour Royale à 30m de la police Nationale","https://www.google.pl/maps/place/5%C2%B008'05.7%22N+3%C2%B017'23.9%22W/@5.134922,-3.2925471,17z/data=!3m1!4b1!4m4!3m3!8m2!3d5.1349167!4d-3.2899722?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°08'05.7""N 3°17'23.9""W",Live
Région du Gôh,Oui,COD,Agence de Ogoudou,Oui,Near the Catholic Church,and the Appagnou Private School in Ogoudou,"https://www.google.pl/maps/place/AGENCE+JUMIA+OGOUDOU/@5.8969497,-5.162186,17z/data=!4m12!1m5!3m4!2zNcKwNTMnNDkuMCJOIDXCsDA5JzM0LjYiVw!8m2!3d5.8969444!4d-5.1596111!3m5!1s0xfbf6504b4e30433:0x8a00b1993724f92d!8m2!3d5.8959403!4d-5.1582833!16s%2Fg%2F11m61nj85r?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°53'49.0""N 5°09'34.6""W",Live
Région Abidjan - lagunes,Oui,COD,Agence de Attingue,Oui,situé au carrefour de l'hôpital général de ATTINGUÉ, juste à l'école primaire Epp ATTINGUÉ 2,"https://www.google.com/maps/place/8%C2%B029'05.3%22N+3%C2%B007'37.5%22W/@8.484797,-3.127092,707m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d8.484797!4d-3.127092?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","8°29'05.3""N 3°07'37.5""W",Live
Région du Lôh-Djiboua,Oui,COD,Agence de Yocoboue,Oui,Yocoboue,en bordure à 120 mètres de la pharmacie de yocoboue,"https://www.google.com/maps/place/5%C2%B016'02.7%22N+5%C2%B006'31.6%22W/@5.267415,-5.108781,712m/data=!3m2!1e3!4b1!4m4!3m3!8m2!3d5.267415!4d-5.108781?entry=ttu&g_ep=EgoyMDI2MDIxOC4wIKXMDSoASAFQAw%3D%3D","5°16'02.7""N 5°06'31.6""W",Live
